Date,Open,High,Low,Close,Adj Close,Volume,P.E. ratio,36months return,60months return,120months return,,,,,,,date, value
1/2/2004,1131.130005,1158.97998,1124.439941,1144.939941,1144.939941,27985600000,22.0181,7.1%,-8.5%,5.0%,,,,,,,1/1/1932,14.0893
1/3/2004,1144.939941,1163.22998,1087.160034,1126.209961,1126.209961,33597900000,21.6579,8.1%,-6.7%,5.2%,,,,,,,1/2/1932,14.8036
1/4/2004,1126.209961,1150.569946,1107.22998,1107.300049,1107.300049,31611900000,19.7204,10.2%,-4.6%,5.5%,,,,,,,1/3/1932,13.0536
1/5/2004,1107.300049,1127.73999,1076.319946,1120.680054,1120.680054,29326400000,19.9587,11.0%,-3.9%,5.6%,,,,,,,1/4/1932,11.4314
1/6/2004,1120.680054,1146.339966,1113.319946,1140.839966,1140.839966,27529500000,20.3177,9.6%,-4.2%,5.6%,,,,,,,1/5/1932,8.7647
1/7/2004,1140.839966,1140.839966,1078.780029,1101.719971,1101.719971,29285600000,19.0708,9.7%,-2.2%,5.8%,,,,,,,1/6/1932,8.6863
1/8/2004,1101.719971,1109.680054,1060.719971,1104.23999,1104.23999,26586800000,19.1144,10.1%,-1.6%,6.1%,,,,,,,1/7/1932,13.2609
1/9/2004,1104.23999,1131.540039,1099.180054,1114.579956,1114.579956,26829870000,19.2934,11.1%,-1.1%,5.9%,,,,,,,1/8/1932,18.2391
1/10/2004,1114.579956,1142.050049,1090.290039,1130.199951,1130.199951,31511000000,19.3032,11.1%,-1.7%,6.0%,,,,,,,1/9/1932,17.5652
1/11/2004,1130.199951,1188.459961,1127.599976,1173.819946,1173.819946,30460280000,20.0482,8.1%,-1.4%,5.8%,,,,,,,1/10/1932,16.9756
1/12/2004,1173.780029,1217.329956,1173.780029,1211.920044,1211.920044,31102500000,20.6989,6.6%,-1.7%,5.4%,,,,,,,1/11/1932,15.9756
1/1/2005,1211.920044,1217.800049,1163.75,1181.27002,1181.27002,31498800000,19.5834,5.3%,-1.9%,5.4%,,,,,,,1/12/1932,16.8049
1/2/2005,1181.27002,1212.439941,1180.949951,1203.599976,1203.599976,29297410000,19.9536,3.4%,-1.7%,5.7%,,,,,,,1/1/1933,16.5238
1/3/2005,1203.599976,1229.109985,1163.689941,1180.589966,1180.589966,39014150000,19.5721,3.9%,-0.2%,5.8%,,,,,,,1/2/1933,13.4762
1/4/2005,1180.589966,1191.880005,1136.150024,1156.849976,1156.849976,43424270000,18.2584,6.2%,0.5%,6.1%,,,,,,,1/3/1933,13.9286
1/5/2005,1156.849976,1199.560059,1146.180054,1191.5,1191.5,39321990000,18.8052,5.5%,-1.8%,5.9%,,,,,,,1/4/1933,19.3488
1/6/2005,1191.5,1219.589966,1188.300049,1191.329956,1191.329956,40334040000,18.8026,2.4%,-2.9%,5.6%,,,,,,,1/5/1933,22.4186
1/7/2005,1191.329956,1245.150024,1183.550049,1234.180054,1234.180054,37464670000,18.5396,0.9%,-2.2%,5.5%,,,,,,,1/6/1933,25.3721
1/8/2005,1234.180054,1245.859985,1201.069946,1220.329956,1220.329956,42030090000,18.3315,1.7%,-3.0%,4.9%,,,,,,,1/7/1933,23.1395
1/9/2005,1220.329956,1243.130005,1205.349976,1228.810059,1228.810059,44777510000,18.4589,-1.7%,-1.5%,4.6%,,,,,,,1/8/1933,25.7907
1/10/2005,1228.810059,1233.339966,1168.199951,1207.01001,1207.01001,49793790000,17.2603,-7.1%,-0.4%,5.6%,,,,,,,1/9/1933,22.8605
1/11/2005,1207.01001,1270.640015,1201.069946,1249.47998,1249.47998,45102870000,17.8676,-10.5%,-1.1%,5.2%,,,,,,,1/10/1933,20.3636
1/12/2005,1249.47998,1275.800049,1246.589966,1248.290039,1248.290039,41756130000,17.8506,-10.2%,0.1%,5.1%,,,,,,,1/11/1933,22.4545
1/1/2006,1248.290039,1294.900024,1245.73999,1280.079956,1280.079956,49211650000,17.615,-13.6%,0.1%,4.2%,,,,,,,1/12/1933,22.9545
1/2/2006,1280.079956,1297.569946,1253.609985,1280.660034,1280.660034,42859940000,17.623,-16.9%,0.7%,4.2%,,,,,,,1/1/1934,24.8222
1/3/2006,1280.660034,1310.880005,1268.420044,1294.869995,1294.869995,50905040000,17.8185,-14.9%,0.5%,4.8%,,,,,,,1/2/1934,23.9111
1/4/2006,1302.880005,1318.160034,1280.73999,1310.609985,1310.609985,43308430000,17.5944,-12.7%,0.8%,4.7%,,,,,,,1/3/1934,23.8889
