Date,Open,High,Low,Close,Adj Close,Volume,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change,,,,,,,HS Index,daily pct_change,5 days pct_change,10 days pct_change,20 days pct_change
25/2/2005,14103.12012,14207.53027,14103.12012,14157.08984,14157.08984,418029600,0.68%,0.49%,2.25%,4.22%,,,,,,,,,,,
28/2/2005,14204.86035,14272.54004,14141.78027,14195.34961,14195.34961,398278800,0.27%,0.59%,1.27%,4.20%,,,,,,,,,,,
1/3/2005,14031.21973,14085.84961,13954.58008,14061.15039,14061.15039,274503200,-0.95%,-0.21%,0.47%,3.17%,,,,,,,,,,,
2/3/2005,14039.84961,14066.75977,13817.45996,13850.78027,13850.78027,375846200,-1.50%,-0.77%,-1.18%,1.47%,,,,,,,,,,,
3/3/2005,13816.82031,13909.11035,13785.38965,13892.37012,13892.37012,277068800,0.30%,-1.20%,-0.54%,1.24%,,,,,,,,,,,
4/3/2005,13906.00977,13922.42969,13692.38965,13730.78027,13730.78027,395828200,-1.16%,-3.01%,-2.53%,1.12%,,,,,,,,,,,
7/3/2005,13829.83984,13872.62012,13749.25,13771.9502,13771.9502,250703400,0.30%,-2.98%,-2.41%,1.59%,,,,,,,,,,,
8/3/2005,13763.13965,13889.42969,13736.17969,13881.70996,13881.70996,303182800,0.80%,-1.28%,-1.48%,2.71%,,,,,,,,,,,
9/3/2005,13915.36035,13996.45996,13871.26953,13941.46973,13941.46973,299302800,0.43%,0.65%,-0.12%,2.62%,,,,,,,,,,,
10/3/2005,13811.36035,13874.20996,13742.24023,13856.01953,13856.01953,482474800,-0.61%,-0.26%,-1.46%,0.44%,,,,,,,,,,,
11/3/2005,13859.88965,13909.29004,13781.41992,13890.92969,13890.92969,350892600,0.25%,1.17%,-1.88%,0.33%,,,,,,,,,,,
14/3/2005,13832.94043,13935.11035,13816.25,13906.84961,13906.84961,286057800,0.11%,0.98%,-2.03%,-0.79%,,,,,,,,,,,
15/3/2005,13886.83008,13886.83008,13763.54004,13816.75,13816.75,316214000,-0.65%,-0.47%,-1.74%,-1.28%,,,,,,,,,,,
16/3/2005,13709.84961,13838.23047,13647.05957,13832.51953,13832.51953,344711200,0.11%,-0.78%,-0.13%,-1.31%,,,,,,,,,,,
17/3/2005,13723.25,13858.41992,13699.70996,13817.99023,13817.99023,340115800,-0.11%,-0.27%,-0.54%,-1.07%,,,,,,,,,,,
18/3/2005,13865.0498,13907.05957,13779.76953,13828.37012,13828.37012,281040800,0.08%,-0.45%,0.71%,-1.84%,,,,,,,,,,,
21/3/2005,13822.9502,13865.12012,13786.79004,13834.34961,13834.34961,170979400,0.04%,-0.52%,0.45%,-1.97%,,,,,,,,,,,
22/3/2005,13800.83008,13822.87988,13757.65039,13776.46973,13776.46973,264343800,-0.42%,-0.29%,-0.76%,-2.23%,,,,,,,,,,,
23/3/2005,13602.90039,13643.99023,13564.61035,13603.61035,13603.61035,386965600,-1.25%,-1.65%,-2.42%,-2.54%,,,,,,,,,,,
24/3/2005,13591.94043,13612.98047,13547.83984,13597.09961,13597.09961,300039600,-0.05%,-1.60%,-1.87%,-3.30%,,,,,,,,,,,
29/3/2005,13552.09961,13552.09961,13380.91016,13411.87988,13411.87988,401276400,-1.36%,-3.01%,-3.45%,-5.26%,,,,,,,,,,,
30/3/2005,13404.59961,13460.00977,13357.16992,13425.75,13425.75,312026400,0.10%,-2.95%,-3.46%,-5.42%,,,,,,,,,,,
