Date,spy,qld
2013-06-21,135.56739807128906,3.965437650680542
2013-06-24,133.8544464111328,3.8853840827941895
2013-06-25,135.1413116455078,3.939373731613159
2013-06-26,136.47935485839844,4.006394386291504
2013-06-27,137.2804412841797,4.046111106872559
2013-06-28,136.71795654296875,4.049835681915283
2013-07-01,137.5190887451172,4.10816764831543
2013-07-02,137.39120483398438,4.109409809112549
2013-07-03,137.45091247558594,4.144161701202393
2013-07-05,138.93380737304688,4.204356670379639
2013-07-08,139.72637939453125,4.211804389953613
2013-07-09,140.7320556640625,4.263310432434082
2013-07-10,140.783203125,4.314817428588867
2013-07-11,142.70077514648438,4.492921829223633
2013-07-12,142.76043701171875,4.525812149047852
2013-07-15,143.30584716796875,4.546910285949707
2013-07-16,142.76893615722656,4.535119533538818
