,Date,spy,portfolio,spy_rb,portfolio_rb
344,2006-05-15,94.88301086425781,inf,0.0,100
345,2006-05-16,94.74375915527344,inf,0.0,100
346,2006-05-17,92.94137573242188,inf,0.0,100
347,2006-05-18,92.47246551513672,inf,0.0,100
348,2006-05-19,93.12451171875,inf,0.0,100
349,2006-05-22,92.41381072998047,inf,0.0,100
350,2006-05-23,91.7104263305664,inf,0.0,100
351,2006-05-24,92.44313049316406,inf,0.0,100
352,2006-05-25,93.58612060546875,inf,0.0,100
353,2006-05-26,94.06237030029297,inf,0.0,100
354,2006-05-30,92.391845703125,inf,0.0,100
355,2006-05-31,93.42497253417969,inf,0.0,100
356,2006-06-01,94.31883239746094,inf,0.0,100
357,2006-06-02,94.5166015625,inf,0.0,100
358,2006-06-05,93.13916015625,inf,0.0,100
359,2006-06-06,92.91209411621094,inf,0.0,100
360,2006-06-07,92.21598815917969,inf,0.0,100
361,2006-06-08,92.1353988647461,inf,0.0,100
362,2006-06-09,91.84235382080078,inf,0.0,100
363,2006-06-12,90.84588623046875,inf,0.0,100
364,2006-06-13,89.79081726074219,inf,0.0,100
365,2006-06-14,90.48684692382812,inf,0.0,100
366,2006-06-15,92.40653228759766,inf,0.0,100
367,2006-06-16,91.73314666748047,inf,0.0,100
368,2006-06-19,91.01195526123047,inf,0.0,100
369,2006-06-20,91.32100677490234,inf,0.0,100
370,2006-06-21,91.99805450439453,inf,0.0,100
371,2006-06-22,91.59327697753906,inf,0.0,100
372,2006-06-23,91.57857513427734,inf,0.0,100
373,2006-06-26,91.98333740234375,inf,0.0,100
374,2006-06-27,91.18855285644531,inf,0.0,100
375,2006-06-28,91.80671691894531,inf,0.0,100
376,2006-06-29,93.66126251220703,inf,0.0,100
377,2006-06-30,93.6686019897461,inf,0.0,100
378,2006-07-03,94.05126953125,inf,0.0,100
379,2006-07-05,93.51405334472656,inf,0.0,100
380,2006-07-06,93.78634643554688,inf,0.0,100
381,2006-07-07,93.17555236816406,inf,0.0,100
382,2006-07-10,93.35218048095703,inf,0.0,100
383,2006-07-11,93.76427459716797,inf,0.0,100
384,2006-07-12,92.76344299316406,inf,0.0,100
385,2006-07-13,91.2547607421875,inf,0.0,100
386,2006-07-14,90.90152740478516,inf,0.0,100
387,2006-07-17,90.76903533935547,inf,0.0,100
388,2006-07-18,91.23268127441406,inf,0.0,100
389,2006-07-19,92.49848175048828,inf,0.0,100
390,2006-07-20,91.86559295654297,inf,0.0,100
391,2006-07-21,91.21798706054688,inf,0.0,100
392,2006-07-24,92.88116455078125,inf,0.0,100
393,2006-07-25,93.21233367919922,inf,0.0,100
394,2006-07-26,93.33745574951172,inf,0.0,100
395,2006-07-27,93.24913024902344,inf,0.0,100
396,2006-07-28,94.1837387084961,inf,0.0,100
397,2006-07-31,94.08807373046875,inf,0.0,100
398,2006-08-01,93.62445831298828,inf,0.0,100
399,2006-08-02,94.25736999511719,inf,0.0,100
400,2006-08-03,94.5075912475586,inf,0.0,100
401,2006-08-04,94.34567260742188,inf,0.0,100
402,2006-08-07,94.12491607666016,inf,0.0,100
403,2006-08-08,93.76427459716797,inf,0.0,100
404,2006-08-09,93.44781494140625,inf,0.0,100
405,2006-08-10,93.73484802246094,inf,0.0,100
406,2006-08-11,93.46990203857422,inf,0.0,100
407,2006-08-14,93.54351806640625,inf,0.0,100
408,2006-08-15,94.66210174560547,inf,0.0,100
409,2006-08-16,95.44955444335938,inf,0.0,100
410,2006-08-17,95.69241333007812,inf,0.0,100
411,2006-08-18,96.17811584472656,inf,0.0,100
412,2006-08-21,95.76597595214844,inf,0.0,100
413,2006-08-22,95.75865173339844,inf,0.0,100
414,2006-08-23,95.49372100830078,inf,0.0,100
415,2006-08-24,95.41276550292969,inf,0.0,100
416,2006-08-25,95.53050231933594,inf,0.0,100
417,2006-08-28,95.98677062988281,inf,0.0,100
418,2006-08-29,96.09719848632812,inf,0.0,100
419,2006-08-30,96.15607452392578,inf,0.0,100
420,2006-08-31,96.14131927490234,inf,0.0,100
421,2006-09-01,96.71534729003906,inf,0.0,100
422,2006-09-05,96.89932250976562,inf,0.0,100
423,2006-09-06,96.04562377929688,inf,0.0,100
